Time zone ID,Raw offset (Hours : Minutes),DST offset (Minutes),Display name
Etc/GMT+12,-12 : 00,,GMT-12:00
Etc/GMT+11,-11 : 00,,GMT-11:00
MIT,-11 : 00,,West Samoa Time
Pacific/Apia,-11 : 00,,West Samoa Time
Pacific/Midway,-11 : 00,,Samoa Standard Time
Pacific/Niue,-11 : 00,,Niue Time
Pacific/Pago_Pago,-11 : 00,,Samoa Standard Time
Pacific/Samoa,-11 : 00,,Samoa Standard Time
US/Samoa,-11 : 00,,Samoa Standard Time
America/Adak,-10 : 00,60,Hawaii-Aleutian Standard Time
America/Atka,-10 : 00,60,Hawaii-Aleutian Standard Time
Etc/GMT+10,-10 : 00,,GMT-10:00
HST,-10 : 00,,Hawaii Standard Time
Pacific/Fakaofo,-10 : 00,,Tokelau Time
Pacific/Honolulu,-10 : 00,,Hawaii Standard Time
Pacific/Johnston,-10 : 00,,Hawaii Standard Time
Pacific/Rarotonga,-10 : 00,,Cook Is. Time
Pacific/Tahiti,-10 : 00,,Tahiti Time
SystemV/HST10,-10 : 00,,Hawaii Standard Time
US/Aleutian,-10 : 00,60,Hawaii-Aleutian Standard Time
US/Hawaii,-10 : 00,,Hawaii Standard Time
Pacific/Marquesas,-9 : 30,,Marquesas Time
AST,-9 : 00,60,Alaska Standard Time
America/Anchorage,-9 : 00,60,Alaska Standard Time
America/Juneau,-9 : 00,60,Alaska Standard Time
America/Nome,-9 : 00,60,Alaska Standard Time
America/Yakutat,-9 : 00,60,Alaska Standard Time
Etc/GMT+9,-9 : 00,,GMT-09:00
Pacific/Gambier,-9 : 00,,Gambier Time
SystemV/YST9,-9 : 00,60,Alaska Standard Time
US/Alaska,-9 : 00,60,Alaska Standard Time
America/Dawson,-8 : 00,60,Pacific Standard Time
America/Ensenada,-8 : 00,60,Pacific Standard Time
America/Los_Angeles,-8 : 00,60,Pacific Standard Time
America/Tiajuana,-8 : 00,60,Pacific Standard Time
America/Vancouver,-8 : 00,60,Pacific Standard Time
America/Whitehorse,-8 : 00,60,Pacific Standard Time
Canada/Pacific,-8 : 00,60,Pacific Standard Time
Canada/Yukon,-8 : 00,60,Pacific Standard Time
Etc/GMT+8,-8 : 00,,GMT-08:00
Mexico/BajaNorte,-8 : 00,60,Pacific Standard Time
PST,-8 : 00,60,Pacific Standard Time
PST8PDT,-8 : 00,60,Pacific Standard Time
Pacific/Pitcairn,-8 : 00,,Pitcairn Standard Time
SystemV/PST8,-8 : 00,,Pitcairn Standard Time
SystemV/PST8PDT,-8 : 00,60,Pacific Standard Time
